phrase_id,split,category,initials,text,partner,situation,recent_context,source,approved,priority,note
P0103,train,medical_communication,ㅅㅅㅍㅎㄷㅎㅇㅎㅈㅅㅇ,산소포화도 확인해주세요,medical_staff,hospital,병원에서 의료진에게 상태 확인이나 처치를 요청하는 상황이다.,curated_seed_v2,1,high,
P0104,train,medical_communication,ㅎㅎㅅㅌㅎㅇㅎㅈㅅㅇ,호흡 상태 확인해주세요,medical_staff,hospital,병원에서 의료진에게 상태 확인이나 처치를 요청하는 상황이다.,curated_seed_v2,1,high,
P0106,train,medical_communication,ㅇㅇㅇㅁㅁㅇㅇㅇ,약을 이미 먹었어요,medical_staff,hospital,병원에서 의료진에게 상태 확인이나 처치를 요청하는 상황이다.,curated_seed_v2,1,high,
P0107,train,medical_communication,ㅇㅇㅇㅈㅁㅁㅇㅇㅇ,약을 아직 못 먹었어요,medical_staff,hospital,병원에서 의료진에게 상태 확인이나 처치를 요청하는 상황이다.,curated_seed_v2,1,high,
P0108,train,medical_communication,ㅂㅎㅈㅇㄱㅇㄹㅎㅈㅅㅇ,보호자에게 연락해주세요,medical_staff,hospital,병원에서 의료진에게 상태 확인이나 처치를 요청하는 상황이다.,curated_seed_v2,1,high,
P0109,train,medical_communication,ㅎㅇㅎㅂㅎㅈㅅㅇ,흡인 한번 해주세요,medical_staff,hospital,병원에서 의료진에게 상태 확인이나 처치를 요청하는 상황이다.,curated_seed_v2,1,high,
P0110,train,medical_communication,ㅈㅅㄹㅎㅇㅎㅈㅅㅇ,자세를 확인해주세요,medical_staff,hospital,병원에서 의료진에게 상태 확인이나 처치를 요청하는 상황이다.,curated_seed_v2,1,high,
P0111,train,medical_communication,ㄱㅎㅅㅇㅈㅇㄴㅇ,간호사 언제 오나요,medical_staff,hospital,병원에서 의료진에게 상태 확인이나 처치를 요청하는 상황이다.,curated_seed_v2,1,high,
P0112,train,medical_communication,ㅇㅅㅇㅈㅇㄴㅇ,의사 언제 오나요,medical_staff,hospital,병원에서 의료진에게 상태 확인이나 처치를 요청하는 상황이다.,curated_seed_v2,1,high,
P0113,train,medical_communication,ㄱㅅㅅㄱㅇㅇㅈㅇㅇ,검사 시간이 언제예요,medical_staff,hospital,병원에서 의료진에게 상태 확인이나 처치를 요청하는 상황이다.,curated_seed_v2,1,high,
P0115,train,medical_communication,ㅈㅅㅂㅇㄱㅇㅍㅇ,주사 부위가 아파요,medical_staff,hospital,병원에서 의료진에게 상태 확인이나 처치를 요청하는 상황이다.,curated_seed_v2,1,high,
P0116,train,medical_communication,ㅇㄱㅅㄹㄱㅇㅎㄱㄱㅇㅇ,응급실로 가야 할 것 같아요,medical_staff,hospital,병원에서 의료진에게 상태 확인이나 처치를 요청하는 상황이다.,curated_seed_v2,1,high,
P0117,train,medical_communication,ㅅㅅㄹㅈㄱㅇㄹㅈㅅㅇ,산소를 조금 올려주세요,medical_staff,hospital,병원에서 의료진에게 상태 확인이나 처치를 요청하는 상황이다.,curated_seed_v2,1,high,
P0118,train,medical_communication,ㅌㅈㅇㅊㄹㅂㅈㅅㅇ,통증 위치를 봐주세요,medical_staff,hospital,병원에서 의료진에게 상태 확인이나 처치를 요청하는 상황이다.,curated_seed_v2,1,high,
P0119,train,medical_communication,ㅇㅇㄹㅇㅇㄹㅈㅅㅇ,약 이름을 알려주세요,medical_staff,hospital,병원에서 의료진에게 상태 확인이나 처치를 요청하는 상황이다.,curated_seed_v2,1,high,
P0121,train,schedule_time,ㅁㅅㅇㅇㄱㅇ,몇 시에 올 거야,family,schedule,"시간, 약속, 방문 일정이나 하루 계획을 묻거나 정하는 상황이다.",curated_seed_v2,1,normal,
P0122,train,schedule_time,ㅇㅈㅊㅂㅎㄱㅇ,언제 출발할 거야,family,schedule,"시간, 약속, 방문 일정이나 하루 계획을 묻거나 정하는 상황이다.",curated_seed_v2,1,normal,
P0123,train,schedule_time,ㅇㄴㅂㅇㅇㅇ,오늘 병원 있어,family,schedule,"시간, 약속, 방문 일정이나 하루 계획을 묻거나 정하는 상황이다.",curated_seed_v2,1,normal,
P0125,train,schedule_time,ㅇㅎㅇㄴㅁㅎ,오후에는 뭐 해,family,schedule,"시간, 약속, 방문 일정이나 하루 계획을 묻거나 정하는 상황이다.",curated_seed_v2,1,normal,
P0126,train,schedule_time,ㅈㄴㅇㄴㄴㄱㅇ,저녁에는 누가 와,family,schedule,"시간, 약속, 방문 일정이나 하루 계획을 묻거나 정하는 상황이다.",curated_seed_v2,1,normal,
P0127,train,schedule_time,ㅇㅂㅈㅁㅇㅁㅎ,이번 주말에 뭐 해,family,schedule,"시간, 약속, 방문 일정이나 하루 계획을 묻거나 정하는 상황이다.",curated_seed_v2,1,normal,
P0128,train,schedule_time,ㄷㅇㄷㅇㅁㄴㅈ,다음 달에 만나자,family,schedule,"시간, 약속, 방문 일정이나 하루 계획을 묻거나 정하는 상황이다.",curated_seed_v2,1,normal,
P0129,train,schedule_time,ㅇㅊㅇㄲㅇㅈㄹ,아침에 깨워줄래,family,schedule,"시간, 약속, 방문 일정이나 하루 계획을 묻거나 정하는 상황이다.",curated_seed_v2,1,normal,
P0130,train,schedule_time,ㅈㅅㅇㅇㅈㅁㅇ,점심은 언제 먹어,family,schedule,"시간, 약속, 방문 일정이나 하루 계획을 묻거나 정하는 상황이다.",curated_seed_v2,1,normal,
P0133,train,schedule_time,ㅇㄴㅇㅁㅅㅇㅇㅇㅇ,오늘이 무슨 요일이야,family,schedule,"시간, 약속, 방문 일정이나 하루 계획을 묻거나 정하는 상황이다.",curated_seed_v2,1,normal,
P0134,train,schedule_time,ㅇㅇㅅㄱㅇㅁㅅㅇ,예약 시간이 몇 시야,family,schedule,"시간, 약속, 방문 일정이나 하루 계획을 묻거나 정하는 상황이다.",curated_seed_v2,1,normal,
P0137,train,schedule_time,ㄴㅇㅇㅈㅇㄹㅈ,내일 일정 알려줘,family,schedule,"시간, 약속, 방문 일정이나 하루 계획을 묻거나 정하는 상황이다.",curated_seed_v2,1,normal,
P0138,train,schedule_time,ㅇㅂㅈㅇㅈㅇㄹㅈ,이번 주 일정 알려줘,family,schedule,"시간, 약속, 방문 일정이나 하루 계획을 묻거나 정하는 상황이다.",curated_seed_v2,1,normal,
P0139,train,schedule_time,ㄷㅇㅇㅈㅇㅁㅇ,다음 일정이 뭐야,family,schedule,"시간, 약속, 방문 일정이나 하루 계획을 묻거나 정하는 상황이다.",curated_seed_v2,1,normal,
P0141,train,social,ㅈㅁㅂㄱㅅㅇㅇ,정말 보고 싶었어,friend,general,가족이나 친구와 일상적인 사회적 대화를 하는 상황이다.,curated_seed_v2,1,normal,
P0142,train,social,ㅁㄴㅅㅂㄱㅇ,만나서 반가워,friend,general,가족이나 친구와 일상적인 사회적 대화를 하는 상황이다.,curated_seed_v2,1,normal,
P0143,train,social,ㅈㅈㄴㅈ,잘 지냈지,friend,general,가족이나 친구와 일상적인 사회적 대화를 하는 상황이다.,curated_seed_v2,1,normal,
P0144,train,social,ㅇㄴㅈㅁㅇㅇ,오늘 재밌었어,friend,general,가족이나 친구와 일상적인 사회적 대화를 하는 상황이다.,curated_seed_v2,1,normal,
P0146,train,social,ㅁㅇㅎㅇ,미안했어,friend,general,가족이나 친구와 일상적인 사회적 대화를 하는 상황이다.,curated_seed_v2,1,normal,
P0147,train,social,ㅈㅁㅊㅎㅎ,정말 축하해,friend,general,가족이나 친구와 일상적인 사회적 대화를 하는 상황이다.,curated_seed_v2,1,normal,
P0148,train,social,ㄴㄱㅊㅇ,너 괜찮아,friend,general,가족이나 친구와 일상적인 사회적 대화를 하는 상황이다.,curated_seed_v2,1,normal,
P0149,train,social,ㅁㅇㅅㄹㅎ,많이 사랑해,friend,general,가족이나 친구와 일상적인 사회적 대화를 하는 상황이다.,curated_seed_v2,1,normal,
P0150,train,social,ㅇㄹㅁㅇㄹㅂㄱㅇ,오랜만이라 반가워,friend,general,가족이나 친구와 일상적인 사회적 대화를 하는 상황이다.,curated_seed_v2,1,normal,
P0154,train,social,ㅊㄱㅇㄱㅇㄹㅎㅈ,친구에게 연락해줘,friend,general,가족이나 친구와 일상적인 사회적 대화를 하는 상황이다.,curated_seed_v2,1,normal,
P0155,train,social,ㅇㄴㄱㅅㅎㅇ,오늘 고생했어,friend,general,가족이나 친구와 일상적인 사회적 대화를 하는 상황이다.,curated_seed_v2,1,normal,
P0156,train,social,ㅈㅁㄱㅁㅇㅇ,정말 고마웠어,friend,general,가족이나 친구와 일상적인 사회적 대화를 하는 상황이다.,curated_seed_v2,1,normal,
P0157,train,social,ㄷㅇㅇㄸㅂㅈ,다음에 또 보자,friend,general,가족이나 친구와 일상적인 사회적 대화를 하는 상황이다.,curated_seed_v2,1,normal,
P0158,train,social,ㅇㄴㅈㄱㅇㄷ,오늘 즐거웠다,friend,general,가족이나 친구와 일상적인 사회적 대화를 하는 상황이다.,curated_seed_v2,1,normal,
P0159,train,social,ㅈㄱㄷㅇㅇㄱㅎㅈ,조금 더 이야기하자,friend,general,가족이나 친구와 일상적인 사회적 대화를 하는 상황이다.,curated_seed_v2,1,normal,
P0161,train,questions_answers,ㅇㄷㄹㄱㄴㄱㅇ,어디로 가는 거야,family,general,상대에게 질문하거나 짧게 대답해야 하는 상황이다.,curated_seed_v2,1,normal,
P0162,train,questions_answers,ㄴㄱㅇㅈㅇㄹㅈ,누구인지 알려줘,family,general,상대에게 질문하거나 짧게 대답해야 하는 상황이다.,curated_seed_v2,1,normal,
P0163,train,questions_answers,ㅂㄱㅁㄹㄱㅎㅇ,방금 뭐라고 했어,family,general,상대에게 질문하거나 짧게 대답해야 하는 상황이다.,curated_seed_v2,1,normal,
P0167,train,questions_answers,ㅇㄱㅁㅇ,이게 뭐야,family,general,상대에게 질문하거나 짧게 대답해야 하는 상황이다.,curated_seed_v2,1,normal,
P0169,train,questions_answers,ㅂㄱㄴㄱㅇㅇ,방금 누가 왔어,family,general,상대에게 질문하거나 짧게 대답해야 하는 상황이다.,curated_seed_v2,1,normal,
P0170,train,questions_answers,ㅇㅈㄷㅎㅇ,이제 다 했어,family,general,상대에게 질문하거나 짧게 대답해야 하는 상황이다.,curated_seed_v2,1,normal,
P0171,train,questions_answers,ㅇㅈㅇㄲㄴㅇ,아직 안 끝났어,family,general,상대에게 질문하거나 짧게 대답해야 하는 상황이다.,curated_seed_v2,1,normal,
P0172,train,questions_answers,ㅈㅁㄹㄱㅇ,잘 모르겠어,family,general,상대에게 질문하거나 짧게 대답해야 하는 상황이다.,curated_seed_v2,1,normal,
P0173,train,questions_answers,ㄱㅇㅇㅇㄴ,기억이 안 나,family,general,상대에게 질문하거나 짧게 대답해야 하는 상황이다.,curated_seed_v2,1,normal,
P0174,train,questions_answers,ㄷㅅㅁㅇㅂㅈ,다시 물어봐줘,family,general,상대에게 질문하거나 짧게 대답해야 하는 상황이다.,curated_seed_v2,1,normal,
P0179,train,questions_answers,ㄴㄱㄱㅈㄱㅇ,누가 가져갔어,family,general,상대에게 질문하거나 짧게 대답해야 하는 상황이다.,curated_seed_v2,1,normal,
P0181,train,emotion_needs,ㅈㄱㅁㅅㅇ,조금 무서워,family,general,감정이나 심리적 욕구를 가까운 사람에게 표현하는 상황이다.,curated_seed_v2,1,normal,
P0182,train,emotion_needs,ㅁㅇㅂㅇㅎ,많이 불안해,family,general,감정이나 심리적 욕구를 가까운 사람에게 표현하는 상황이다.,curated_seed_v2,1,normal,
P0183,train,emotion_needs,ㄴㅁㅇㄹㅇ,너무 외로워,family,general,감정이나 심리적 욕구를 가까운 사람에게 표현하는 상황이다.,curated_seed_v2,1,normal,
P0184,train,emotion_needs,ㅈㄱㅅㅅㅎ,조금 심심해,family,general,감정이나 심리적 욕구를 가까운 사람에게 표현하는 상황이다.,curated_seed_v2,1,normal,
P0189,train,emotion_needs,ㅈㄱㅅㅅㅎ,조금 속상해,family,general,감정이나 심리적 욕구를 가까운 사람에게 표현하는 상황이다.,curated_seed_v2,1,normal,
P0185,train,emotion_needs,ㅇㄴㄴㅁㅍㄱㅎ,오늘 너무 피곤해,family,general,감정이나 심리적 욕구를 가까운 사람에게 표현하는 상황이다.,curated_seed_v2,1,normal,
P0187,train,emotion_needs,ㅈㄱㅇㅍㅇㅎ,지금은 편안해,family,general,감정이나 심리적 욕구를 가까운 사람에게 표현하는 상황이다.,curated_seed_v2,1,normal,
P0188,train,emotion_needs,ㅇㄴㅎㅂㅎ,오늘 행복해,family,general,감정이나 심리적 욕구를 가까운 사람에게 표현하는 상황이다.,curated_seed_v2,1,normal,
P0190,train,emotion_needs,ㅎㄱㅁㅇㄴ,화가 많이 나,family,general,감정이나 심리적 욕구를 가까운 사람에게 표현하는 상황이다.,curated_seed_v2,1,normal,
P0191,train,emotion_needs,ㅇㄱㅅㅇㄱㅂㅇㅇ,울고 싶은 기분이야,family,general,감정이나 심리적 욕구를 가까운 사람에게 표현하는 상황이다.,curated_seed_v2,1,normal,
P0192,train,emotion_needs,ㅇㄱㅅㅇㄱㅂㅇㅇ,웃고 싶은 기분이야,family,general,감정이나 심리적 욕구를 가까운 사람에게 표현하는 상황이다.,curated_seed_v2,1,normal,
P0193,train,emotion_needs,ㅈㄲㅎㅈㅇㄱㅅㅇ,잠깐 혼자 있고 싶어,family,general,감정이나 심리적 욕구를 가까운 사람에게 표현하는 상황이다.,curated_seed_v2,1,normal,
P0194,train,emotion_needs,ㄴㄱㄱㄱㅇㅇㅇㅇㅁㅈㄱㅇ,누군가 곁에 있었으면 좋겠어,family,general,감정이나 심리적 욕구를 가까운 사람에게 표현하는 상황이다.,curated_seed_v2,1,normal,
P0195,train,emotion_needs,ㅈㅇㅃㄹㄱㄱㅅㅇ,집에 빨리 가고 싶어,family,general,감정이나 심리적 욕구를 가까운 사람에게 표현하는 상황이다.,curated_seed_v2,1,normal,
P0196,train,emotion_needs,ㅈㄱㅅㄱㅅㄷ,조금 쉬고 싶다,family,general,감정이나 심리적 욕구를 가까운 사람에게 표현하는 상황이다.,curated_seed_v2,1,normal,
